@ NAME             %19s "TRACK.OBS0002.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.09.03 Darwin 64"
@ DATE             %08s "26/06/24"
@ TIME             %08s "17.26.05"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1         89      0.06701404458     0.006373096671      0.02956121868    -0.001137643872                  0                  0        8.047186378        140.3052687
          1         90       0.0613748037     -0.00729339404      0.02993617312      0.00105822255                  0                  0        8.047186378        140.3052687
          1         91      -0.0411049235    -0.009452032595      0.01591434715     0.002747660627                  0                  0        8.047186378        140.3052687
          1         92     -0.07872889485     0.003302756024    -0.005776148283     0.003111928143                  0                  0        8.047186378        140.3052687
          1         93     0.007870437253      0.01084645799     -0.02476637249     0.001966546217                  0                  0        8.047186378        140.3052687
          1         94      0.08204292325     0.001276847995     -0.03172128035   -0.0001275366091                  0                  0        8.047186378        140.3052687
          1         95      0.02677523743     -0.01030786237      -0.0233128099    -0.002153801249                  0                  0        8.047186378        140.3052687
          1         96     -0.07074221485    -0.005627890997    -0.003764077783    -0.003149505903                  0                  0        8.047186378        140.3052687
          1         97      -0.0566454701     0.007930753995        0.017727653    -0.002616697299                  0                  0        8.047186378        140.3052687
          1         98      0.04683109668     0.008977245062      0.03062114936   -0.0008174986804                  0                  0        8.047186378        140.3052687
          1         99      0.07641282203    -0.004141234527      0.02865005883     0.001368892133                  0                  0        8.047186378        140.3052687
          1        100     -0.01457072899     -0.01072543381      0.01291630909     0.002900154705                  0                  0        8.047186378        140.3052687
          1        101      -0.0825637774   -0.0003868364866    -0.009060956842     0.003030621227                  0                  0        8.047186378        140.3052687
          1        102      -0.0202886426      0.01056175169      -0.0267535464     0.001690376053                  0                  0        8.047186378        140.3052687
          1        103      0.07399245779     0.004846411847     -0.03140980601   -0.0004621950866                  0                  0        8.047186378        140.3052687
          1        104      0.05153427665    -0.008516154906     -0.02090597326    -0.002388149035                  0                  0        8.047186378        140.3052687
          1        105     -0.05224321721    -0.008441228569   -0.0003988267914    -0.003170279257                  0                  0        8.047186378        140.3052687
          1        106     -0.07359065349     0.004951408907      0.02044077807    -0.002410575173                  0                  0        8.047186378        140.3052687
          1        107      0.02117586353      0.01053259792      0.03133439968   -0.0004882454746                  0                  0        8.047186378        140.3052687
          1        108      0.08252239307   -0.0005053591845      0.02704114001     0.001664235732                  0                  0        8.047186378        140.3052687
          1        109      0.01366873457      -0.0107456803     0.009771263039     0.003019610051                  0                  0        8.047186378        140.3052687
          1        110     -0.07675488503     -0.00403128029     -0.01224519088     0.002914958134                  0                  0        8.047186378        140.3052687
          1        111     -0.04607744273     0.009043061868     -0.02843286974     0.001395104611                  0                  0        8.047186378        140.3052687
          1        112      0.05730000159     0.007849920503     -0.03074390154   -0.0007914405871                  0                  0        8.047186378        140.3052687
